bus;minute;target
671;1;1.02
671;2;1.02
671;3;1.02
671;4;1.02
671;5;1.02
671;6;1.02
671;7;1.02
671;8;1.02
671;9;1.02
671;10;1.02
671;11;1.02
671;12;1.02
671;13;1.02
671;14;1.02
671;15;1.02
671;16;1.02
671;17;1.02
671;18;1.02
671;19;1.02
671;20;1.02
671;21;1.02
671;22;1.02
671;23;1.02
671;24;1.02
671;25;1.02
671;26;1.02
671;27;1.02
671;28;1.02
671;29;1.02
671;30;1.02
671;31;1.02
671;32;1.02
671;33;1.02
671;34;1.02
671;35;1.02
671;36;1.02
671;37;1.02
671;38;1.02
671;39;1.02
671;40;1.02
671;41;1.02
671;42;1.02
671;43;1.02
671;44;1.02
671;45;1.02
671;46;1.02
671;47;1.02
671;48;1.02
671;49;1.02
671;50;1.02
671;51;1.02
671;52;1.02
671;53;1.02
671;54;1.02
671;55;1.02
671;56;1.02
671;57;1.02
671;58;1.02
671;59;1.02
671;60;1.02
671;61;1.02
671;62;1.02
671;63;1.02
671;64;1.02
671;65;1.02
671;66;1.02
671;67;1.02
671;68;1.02
671;69;1.02
671;70;1.02
671;71;1.02
671;72;1.02
671;73;1.02
671;74;1.02
671;75;1.02
671;76;1.02
671;77;1.02
671;78;1.02
671;79;1.02
671;80;1.02
671;81;1.02
671;82;1.02
671;83;1.02
671;84;1.02
671;85;1.02
671;86;1.02
671;87;1.02
671;88;1.02
671;89;1.02
671;90;1.02
671;91;1.02
671;92;1.02
671;93;1.02
671;94;1.02
671;95;1.02
671;96;1.02
671;97;1.02
671;98;1.02
671;99;1.02
671;100;1.02
671;101;1.02
671;102;1.02
671;103;1.02
671;104;1.02
671;105;1.02
671;106;1.02
671;107;1.02
671;108;1.02
671;109;1.02
671;110;1.02
671;111;1.02
671;112;1.02
671;113;1.02
671;114;1.02
671;115;1.02
671;116;1.02
671;117;1.02
671;118;1.02
671;119;1.02
671;120;1.02
671;121;1.02
671;122;1.02
671;123;1.02
671;124;1.02
671;125;1.02
671;126;1.02
671;127;1.02
671;128;1.02
671;129;1.02
671;130;1.02
671;131;1.02
671;132;1.02
671;133;1.02
671;134;1.02
671;135;1.02
671;136;1.02
671;137;1.02
671;138;1.02
671;139;1.02
671;140;1.02
671;141;1.02
671;142;1.02
671;143;1.02
671;144;1.02
671;145;1.02
671;146;1.02
671;147;1.02
671;148;1.02
671;149;1.02
671;150;1.02
671;151;1.02
671;152;1.02
671;153;1.02
671;154;1.02
671;155;1.02
671;156;1.02
671;157;1.02
671;158;1.02
671;159;1.02
671;160;1.02
671;161;1.02
671;162;1.02
671;163;1.02
671;164;1.02
671;165;1.02
671;166;1.02
671;167;1.02
671;168;1.02
671;169;1.02
671;170;1.02
671;171;1.02
671;172;1.02
671;173;1.02
671;174;1.02
671;175;1.02
671;176;1.02
671;177;1.02
671;178;1.02
671;179;1.02
671;180;1.02
